,Pitcher,AutoPitchType,triStuff+,cv_predicted_prob_lgbm,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,speed_diff,IVB_diff,HB_diff,pitch_count
0,"Cazares, Julian",Changeup,104.61138137098173,0.2912222222222222,79.19054333333332,1720.8679485555558,5.510238888888889,-1.6194388888888889,4.946773333333334,1.18658,-18.261826666666664,-7.858293333333334,-0.12895244444444443,-9.51347879432624,-17.20184914893617,13.83634134751773,9
1,"Cazares, Julian",Curveball,106.90843887314362,0.357,78.84722333333333,2435.5078455555554,5.696331111111111,0.04553888888888889,5.0533866666666665,-4.282784444444444,5.861437777777778,-8.918686777777777,0.5554451111111111,-9.856798794326236,-22.671213593380614,-10.286923096926715,9
2,"Cazares, Julian",Cutter,94.0521782832782,0.1295625,88.343425,2151.792543375,5.895116875,0.37967625,5.93345375,18.215674375,-5.50649,-5.4635193125,-0.9514274375,-0.3605971276595703,-0.17275477393616856,1.0810046808510634,16
3,"Cazares, Julian",Four-Seam,100.16460431757353,0.22227586206896552,89.2040324137931,2142.5728036551723,5.94020724137931,0.3385796551724138,5.922308620689655,19.077355862068966,-3.954421379310345,-4.786725344827586,-0.5963422413793104,0.5000102861335322,0.688926713132797,-0.47106393983859185,29
4,"Cazares, Julian",Sinker,92.79843721329375,0.114,84.98227,2179.199111,5.81403,-1.63528,4.77341,14.01052,-7.70933,-5.088135,0.188255,-3.7217521276595704,-4.377909148936169,3.283844680851063,1
5,"Cazares, Julian",Slider,101.7176048549865,0.2599411764705883,81.46518588235294,2369.713627764706,5.776007647058823,0.18769117647058822,5.316922941176471,3.0236341176470587,3.202294705882353,-7.609950352941176,0.3007625882352941,-7.238836245306629,-15.36479503128911,-7.62778002503129,17
6,"Dalquist, Matthew",Changeup,109.86349245109189,0.4055434782608696,79.66819891304348,1779.337900652174,5.344139130434782,1.3943380434782608,5.789029782608695,5.419643043478261,14.46957391304348,-7.641345891304348,0.4693224347826087,-9.27918250972076,-14.821267241074585,6.5842434252386,46
7,"Dalquist, Matthew",Curveball,101.97771226913147,0.26828070175438595,75.8654250877193,2474.2038461403513,5.608210877192983,0.9572661403508771,5.124918421052631,-10.125757719298246,-11.059589122807017,-9.52745349122807,-2.125830684210526,-13.08195633504494,-30.366668003851093,-18.944919610611898,57
8,"Dalquist, Matthew",Cutter,101.22773988961148,0.24866666666666667,85.98392666666666,2455.7120993333333,5.600925,0.4117416666666667,5.219501666666667,12.138556666666666,-0.7976983333333333,-6.2883320000000005,-0.6601663333333333,-2.9634547560975713,-8.10235361788618,-8.683028821138212,6
9,"Dalquist, Matthew",Four-Seam,97.4150607651118,0.178746887966805,88.9813896680498,2427.597019821577,5.641258506224067,0.9924236514522822,5.785581867219917,20.403040331950205,8.00991979253112,-4.8257971493775935,-0.3923461701244813,0.034008245285554725,0.16213004739736084,0.12458930472624234,241
10,"Dalquist, Matthew",Sinker,102.32522392753734,0.241,89.7671,2455.364502,5.7941,1.11082,6.38535,14.89418,15.61292,-5.75796,1.721818,0.8197185772357614,-5.346730284552846,7.727589512195123,1
11,"Dalquist, Matthew",Slider,106.92171976782886,0.3428301886792453,82.84298698113209,2467.435180509434,5.581026226415095,1.0142396226415094,5.157400566037735,4.187614150943396,-6.313808018867924,-7.1551160000000005,-2.4000634433962262,-6.104394441632162,-16.05329613360945,-14.199138506672803,106
12,"Davidson, Garrett",Changeup,102.29685110966624,0.259070796460177,77.79319106194691,1552.8261863008852,5.495699292035398,-1.9396233628318582,5.0139296460177,2.8102578761061947,-14.557747256637168,-7.877233672566371,0.4578094778761062,-7.9336800339435145,-12.54169760334586,7.8180312292399075,113
13,"Davidson, Garrett",Curveball,99.89471050495037,0.22024000000000002,73.671836,2405.87905704,5.4871536,-1.7862224,4.2718624,-6.3926156,13.171218799999998,-9.269301480000001,3.22110708,-12.055035095890416,-21.744571079452054,-19.910934827397263,25
14,"Davidson, Garrett",Cutter,91.23247749789955,0.10575,84.46576625,2060.13935925,5.7811325,-1.58615625,4.7173125,11.719115,-1.81622125,-6.218831125,1.871063375,-1.2611048458904168,-3.6328404794520535,-4.923494777397261,16
15,"Davidson, Garrett",Four-Seam,94.67884841829994,0.14223684210526316,86.62589052631579,2170.6180255526315,5.819751315789474,-1.5224071052631578,5.030230789473684,17.224937894736843,-6.48699,-5.436606210526316,0.9902304736842105,0.8990194304253732,1.8729824152847887,-0.252726027397261,38
16,"Davidson, Garrett",Sinker,90.84238368616323,0.0995,85.32011785714285,2178.1689151428573,5.6565650000000005,-1.5375485714285715,4.9335957142857145,14.40336142857143,-9.340875714285714,-6.098240928571428,0.9411329285714286,-0.40675323874755925,-0.9485940508806249,2.6011596868884532,14
17,"Davidson, Garrett",Slider,92.106389837485,0.10866666666666665,82.20902333333333,2343.0029950000003,5.83682,-1.76176,4.39083,6.506240000000001,2.2620066666666667,-6.711825,1.7773320000000001,-3.517847762557082,-8.845715479452052,-9.001722694063927,3
18,"Ernisse, Zach",Four-Seam,101.14326060395862,0.2394736842105263,88.370145,2192.6152227894736,5.834185789473684,-0.7990207894736843,5.941274210526315,22.362355,-6.068985789473684,-4.634363684210526,0.2073012105263158,6.731457496674633e-15,-6.544472566211449e-16,-1.2855213969343918e-16,38
