date,away_team,Away_score,home_team,home_score
4/12/2025,"UC Irvine
Anteaters",3,"UC Davis
Aggies",7
4/12/2025,"Hawaii
Rainbow Warriors",5,"Cal Poly
Mustangs",12
4/12/2025,"CS Bakersfield
Roadrunners",5,"Long Beach St
49ers",7
4/12/2025,"UC Santa Barbara
Gauchos",18,"UC Riverside
Highlanders",8
4/12/2025,"CS Northridge
Matadors",5,"UC San Diego
Tritons",9
4/13/2025,"UC Irvine
Anteaters",13,"UC Davis
Aggies",2
4/13/2025,"Hawaii
Rainbow Warriors",2,"Cal Poly
Mustangs",5
4/13/2025,"CS Bakersfield
Roadrunners",12,"Long Beach St
49ers",6
4/13/2025,"UC Santa Barbara
Gauchos",5,"UC Riverside
Highlanders",3
4/13/2025,"CS Northridge
Matadors",6,"UC San Diego
Tritons",23
4/17/2025,"Long Beach St
49ers",4,"CS Fullerton
Titans",5
4/17/2025,"Hawaii
Rainbow Warriors",1,"UC Irvine
Anteaters",3
4/17/2025,"Cal Poly
Mustangs",4,"UC Santa Barbara
Gauchos",3
4/17/2025,"UC Davis
Aggies",3,"CS Bakersfield
Roadrunners",1
4/17/2025,"UC San Diego
Tritons",7,"UC Riverside
Highlanders",3
4/18/2025,"Long Beach St
49ers",8,"CS Fullerton
Titans",5
4/18/2025,"Hawaii
Rainbow Warriors",0,"UC Irvine
Anteaters",4
4/18/2025,"Cal Poly
Mustangs",4,"UC Santa Barbara
Gauchos",5
4/18/2025,"UC Davis
Aggies",5,"CS Bakersfield
Roadrunners",2
4/18/2025,"UC San Diego
Tritons",11,"UC Riverside
Highlanders",0
4/19/2025,"Long Beach St
49ers",4,"CS Fullerton
Titans",6
4/19/2025,"Hawaii
Rainbow Warriors",0,"UC Irvine
Anteaters",5
4/19/2025,"Cal Poly
Mustangs",0,"UC Santa Barbara
Gauchos",4
4/19/2025,"UC Davis
Aggies",8,"CS Bakersfield
Roadrunners",2
4/19/2025,"UC San Diego
Tritons",6,"UC Riverside
Highlanders",7
4/25/2025,"CS Fullerton
Titans",2,"UC Davis
Aggies",1
4/25/2025,"UC Irvine
Anteaters",6,"Cal Poly
Mustangs",4
4/25/2025,"UC Santa Barbara
Gauchos",4,"UC San Diego
Tritons",6
4/25/2025,"CS Northridge
Matadors",7,"Long Beach St
49ers",13
4/25/2025,"CS Bakersfield
Roadrunners",7,"Hawaii
Rainbow Warriors",6
4/26/2025,"CS Fullerton
Titans",2,"UC Davis
Aggies",0
4/26/2025,"UC Irvine
Anteaters",4,"Cal Poly
Mustangs",0
4/26/2025,"CS Bakersfield
Roadrunners",4,"Hawaii
Rainbow Warriors",5
4/26/2025,"UC Santa Barbara
Gauchos",7,"UC San Diego
Tritons",6
4/26/2025,"CS Northridge
Matadors",6,"Long Beach St
49ers",0
4/27/2025,"CS Fullerton
Titans",8,"UC Davis
Aggies",5
4/27/2025,"UC Irvine
Anteaters",10,"Cal Poly
Mustangs",8
4/27/2025,"CS Bakersfield
Roadrunners",4,"Hawaii
Rainbow Warriors",11
