Opponent_Record,Wins,Losses,Location
20-30,1,2,away
28-27,1,2,home
38-22,0,3,away
36-18,0,3,away
29-29,0,1,away
43-17,0,3,home
30-19,1,0,home
18-38,2,1,away
35-21,1,2,home
26-30,1,0,away
29-27,0,3,home
36-24,0,1,away
26-25,1,2,away
22-30,0,1,home
48-16,0,3,home
22-31,2,1,away
37-23,0,1,home
16-36,2,1,home
20-39,1,0,away
43-19,1,2,home
27-28,1,2,away
