Opponent_Record,Wins,Losses,Location
25-27,1,2,home
29-29,0,1,away
30-27,1,0,nuetral
12-42,1,0,nuetral
20-32,1,0,nuetral
21-29,0,1,nuetral
33-23,1,2,home
33-25,0,1,home
43-17,1,2,away
12-42,0,1,home
43-19,0,3,home
29-29,1,0,home
26-25,1,2,away
36-18,2,1,home
35-21,2,1,away
48-18,0,1,away
18-38,2,1,home
29-27,1,2,away
37-23,0,1,home
15-34,1,2,home
36-24,0,2,away
27-28,2,1,home
48-18,1,0,home
16-36,3,0,away
30-27,0,1,away
48-16,0,3,away
