Opponent_Record,Wins,Losses,Location
33-26,4,0,home
19-35,3,1,home
49-11,3,1,home
16-36,1,2,away
0-0,2,0,home
36-18,2,1,home
27-28,3,0,home
12-36,1,0,home
15-34,2,1,away
32-22,1,0,home
22-31,1,2,home
20-30,1,0,away
43-19,1,2,away
37-23,1,0,away
43-17,0,3,away
18-38,2,1,home
48-16,1,3,home
29-27,2,1,away
26-25,2,1,home
36-18,1,0,nuetral
43-17,0,1,nuetral
29-27,1,0,away
43-19,0,1,nuetral
