base_count_state,Outs,runs_remaining
1_0_0_1_1,1,0.7107541362062332
1_0_0_1_1,2,0.2858088930936613
1_0_0_1_2,0,1.0562147730643725
1_0_0_1_2,1,0.6020792871015652
1_0_0_1_2,2,0.1863895407308079
1_0_0_2_0,0,1.5583662714097497
1_0_0_2_0,1,0.875258918296893
1_0_0_2_0,2,0.38622754491017963
1_0_0_2_1,0,1.3668737060041407
1_0_0_2_1,1,0.8038481185084284
1_0_0_2_1,2,0.3188854489164087
1_0_0_2_2,0,1.1931759434775115
1_0_0_2_2,1,0.6754326202479902
1_0_0_2_2,2,0.22974716202270382
1_0_0_3_0,0,1.8847530422333572
1_0_0_3_0,1,1.0030998140111593
1_0_0_3_0,2,0.4898183819482664
1_0_0_3_1,0,1.663477537437604
1_0_0_3_1,1,0.9169772958319213
1_0_0_3_1,2,0.3910579345088161
1_0_0_3_2,0,1.382077922077922
1_0_0_3_2,1,0.8272466146901929
1_0_0_3_2,2,0.2855511136493432
1_0_1_0_0,0,1.8730822873082287
1_0_1_0_0,1,1.2918526785714286
1_0_1_0_0,2,0.6402255639097745
1_0_1_0_1,0,1.7679180887372015
1_0_1_0_1,1,1.2461964038727524
1_0_1_0_1,2,0.5304568527918782
1_0_1_0_2,0,1.4651162790697674
1_0_1_0_2,1,1.029940119760479
1_0_1_0_2,2,0.3285968028419183
1_0_1_1_0,0,1.8271186440677967
1_0_1_1_0,1,1.2774869109947644
1_0_1_1_0,2,0.6476274165202109
1_0_1_1_1,0,1.8958333333333333
1_0_1_1_1,1,1.1653418124006358
1_0_1_1_1,2,0.5675944333996024
1_0_1_1_2,0,1.7868852459016393
1_0_1_1_2,1,1.0466531440162272
1_0_1_1_2,2,0.3743961352657005
1_0_1_2_0,0,1.8990825688073394
1_0_1_2_0,1,1.4422442244224423
1_0_1_2_0,2,0.636986301369863
1_0_1_2_1,0,2.1818181818181817
1_0_1_2_1,1,1.2978142076502732
1_0_1_2_1,2,0.6267123287671232
1_0_1_2_2,0,1.8269230769230769
1_0_1_2_2,1,0.9221411192214112
1_0_1_2_2,2,0.41642228739002934
1_0_1_3_0,0,1.5151515151515151
1_0_1_3_0,1,1.693069306930693
1_0_1_3_0,2,0.7005649717514124
1_0_1_3_1,0,2.2816901408450705
1_0_1_3_1,1,1.504950495049505
1_0_1_3_1,2,0.6035502958579881
1_0_1_3_2,0,1.7181818181818183
1_0_1_3_2,1,1.0501672240802675
1_0_1_3_2,2,0.49803149606299213
1_1_0_0_0,0,1.876232064878353
1_1_0_0_0,1,1.1546965266386136
1_1_0_0_0,2,0.5072021203042175
1_1_0_0_1,0,1.6843824228028503
1_1_0_0_1,1,0.9980654522005481
1_1_0_0_1,2,0.3873792659368963
1_1_0_0_2,0,1.5050825921219821
1_1_0_0_2,1,0.849983514671942
1_1_0_0_2,2,0.27601690438457477
1_1_0_1_0,0,1.9430321592649311
1_1_0_1_0,1,1.2212715987250462
1_1_0_1_0,2,0.5602345415778252
1_1_0_1_1,0,1.7637240356083086
1_1_0_1_1,1,1.0737167116943265
1_1_0_1_1,2,0.4461771385314156
1_1_0_1_2,0,1.6310547759167044
1_1_0_1_2,1,0.9403973509933775
1_1_0_1_2,2,0.31058823529411766
1_1_0_2_0,0,2.1454102355808287
1_1_0_2_0,1,1.3179419525065963
1_1_0_2_0,2,0.6371920350995612
1_1_0_2_1,0,1.8610013175230566
1_1_0_2_1,1,1.1663279132791329
1_1_0_2_1,2,0.5223958333333333
1_1_0_2_2,0,1.6747547754259164
1_1_0_2_2,1,0.9670510708401977
1_1_0_2_2,2,0.32521143777688283
1_1_0_3_0,0,2.6004464285714284
1_1_0_3_0,1,1.5889781859931114
1_1_0_3_0,2,0.81998199819982
1_1_0_3_1,0,2.1798365122615806
1_1_0_3_1,1,1.380449141347424
1_1_0_3_1,2,0.7022175290390708
1_1_0_3_2,0,1.866552609067579
1_1_0_3_2,1,1.1548064918851435
1_1_0_3_2,2,0.4700828474992329
1_1_1_0_0,0,2.4447569304941745
1_1_1_0_0,1,1.6318737270875763
1_1_1_0_0,2,0.8782230159616029
1_1_1_0_1,0,2.2863720073664826
1_1_1_0_1,1,1.4887396286052943
1_1_1_0_1,2,0.6546920821114369
1_1_1_0_2,0,2.163265306122449
1_1_1_0_2,1,1.169179229480737
1_1_1_0_2,2,0.4751809720785936
1_1_1_1_0,0,2.5419776119402986
1_1_1_1_0,1,1.6733807266982623
1_1_1_1_0,2,0.9816490049108296
1_1_1_1_1,0,2.3269662921348315
1_1_1_1_1,1,1.5758139534883722
1_1_1_1_1,2,0.745606453471622
1_1_1_1_2,0,2.0068212824010914
1_1_1_1_2,1,1.3253968253968254
1_1_1_1_2,2,0.46601941747572817
1_1_1_2_0,0,2.936320754716981
1_1_1_2_0,1,1.8829891838741397
1_1_1_2_0,2,1.1891004596191728
1_1_1_2_1,0,2.6122448979591835
1_1_1_2_1,1,1.6220472440944882
1_1_1_2_1,2,0.927536231884058
1_1_1_2_2,0,2.2974683544303796
1_1_1_2_2,1,1.483702737940026
1_1_1_2_2,2,0.5713691219309197
1_1_1_3_0,0,2.8947368421052633
1_1_1_3_0,1,1.9750623441396509
1_1_1_3_0,2,1.2153589315525877
1_1_1_3_1,0,2.5520833333333335
1_1_1_3_1,1,1.6731927710843373
1_1_1_3_1,2,0.907735321528425
1_1_1_3_2,0,2.3949367088607594
1_1_1_3_2,1,1.4446583253128007
1_1_1_3_2,2,0.5862068965517241
