Opponent_Record,Wins,Losses,Location
27-25,0,3,home
31-29,1,2,away
37-23,0,1,home
20-36,2,1,away
43-19,0,3,away
37-23,1,0,away
26-25,1,2,home
31-23,1,0,home
16-36,3,0,away
28-30,1,0,home
18-38,2,1,home
36-24,0,1,away
31-27,1,0,away
15-34,3,0,away
48-16,0,3,home
12-42,1,0,home
22-31,2,1,home
20-39,0,1,away
27-28,3,0,away
43-17,0,1,neutral
36-18,2,1,home
28-30,1,0,away
35-21,1,2,home
43-17,2,1,away
43-19,0,1,home
35-21,0,1,home
