,Games,Type,W,L,Win%,W-L
0,33,Point,18.1434,14.8566,0.5498,18.1 - 14.9
1,30,Min,15.79938,14.20062,0.526646,15.8 - 14.2
2,30,Max,17.02758,12.97242,0.567586,17.0 - 13.0
3,27,Min,13.775700000000002,13.224299999999998,0.5102111111111112,13.8 - 13.2
4,27,Max,15.81066,11.18934,0.58558,15.8 - 11.2
5,24,Min,11.834399999999999,12.165600000000001,0.4930999999999999,11.8 - 12.2
6,24,Max,14.5842,9.4158,0.607675,14.6 - 9.4
